x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
99.34096,-0.67540,-96.38556,-1.19631,199.31533,-86.16157,Slängpolskorgris,0.62378,0.42649,12.10197,3.43177,True,448.51202
100.60896,0.18439,-102.61094,-1.23638,200.57851,-93.29574,Polkagris,0.74169,0.25590,11.12800,-3.63810,True,451.73934
100.10018,0.48681,-101.76163,-1.25433,200.06768,-91.08115,Polkagris,-1.75279,0.76439,12.83530,-0.52512,True,449.62008
100.01433,0.80652,-96.01828,-1.22024,199.98485,-90.82540,Polkagris,0.37051,0.75879,9.54447,0.20145,True,452.06249
99.09649,0.65778,-100.90883,-1.20198,199.06899,-86.97312,Slängpolskorgris,-1.52795,-0.49527,11.04676,1.36818,True,445.02802
99.47500,-1.12296,-108.39378,-1.17703,199.45094,-91.68072,Slängpolskorgris,0.23838,0.12780,10.78795,1.65572,True,443.17811
100.32887,0.44192,-103.10875,-1.21670,200.29952,-91.65840,Polkagris,-0.28756,-0.81613,10.82330,1.81590,True,450.09000
99.91457,0.66846,-89.93335,-1.20255,199.88776,-91.71111,Slängpolskorgris,1.07224,-0.22449,10.64281,2.72326,True,454.60616
98.74505,0.01445,-99.93060,-1.23154,198.71439,-91.61371,Hambogris,-1.14012,1.13210,10.35307,-1.66791,True,443.75994
100.26813,-0.23582,-103.00456,-1.21127,200.24031,-90.14207,Polkagris,0.77798,1.01440,10.14280,-2.03979,True,449.83838
99.69926,0.05281,-103.66095,-1.23013,199.66931,-90.73460,Slängpolskorgris,-1.17734,1.26498,12.26215,-1.54814,True,446.66582
99.82696,-1.33755,-95.55947,-1.22883,199.79779,-91.76413,Slängpolskorgris,0.76628,-0.96120,12.61344,-2.24558,True,451.35507
100.58492,0.28999,-109.27993,-1.22557,200.55534,-91.66790,Polkagris,-0.46351,-1.00607,9.49813,-2.31242,True,448.28463
100.19382,-0.91462,-92.14891,-1.19717,200.16710,-88.56850,Polkagris,0.49481,-0.49376,12.14880,2.11532,True,454.89465
100.86362,0.02178,-95.62669,-1.22397,200.83514,-90.50319,Polkagris,0.49651,-1.08320,9.98894,-2.30347,True,456.50474
100.20591,-0.60352,-96.78152,-1.24688,200.17360,-92.66481,Polkagris,-1.71366,-0.53723,11.40715,-2.35473,True,452.63879
99.04000,1.39410,-100.10933,-1.22901,199.01002,-93.59134,Slängpolskorgris,-2.25773,-0.44945,12.07168,-1.84524,True,445.14535
99.09116,0.76712,-95.16718,-1.23888,199.05990,-87.36976,Slängpolskorgris,1.13902,1.62152,12.07139,0.39887,True,447.87222
100.53893,0.99871,-96.16585,-1.22145,200.50906,-95.30041,Polkagris,0.11723,-0.29492,11.42805,-0.38141,True,454.61174
99.67335,-0.22781,-101.11570,-1.24729,199.64163,-89.52152,Slängpolskorgris,-0.48206,0.82533,13.91307,-1.09277,True,447.80889
100.87315,-1.04753,-99.38535,-1.22480,200.84350,-92.87285,Polkagris,0.08244,1.33371,10.80531,0.84106,True,454.67310
99.79931,-0.44253,-98.16504,-1.23349,199.76875,-89.47981,Slängpolskorgris,0.31196,-0.19346,10.01849,-3.58707,True,449.91404
101.03810,1.40779,-106.03443,-1.21267,201.00970,-92.03190,Schottisgris,1.62052,0.96061,9.28766,3.30371,True,452.17326
100.99409,0.03155,-100.32418,-1.20817,200.96727,-93.09100,Polkagris,-1.06798,-0.08920,9.62026,0.80095,True,454.80838
99.61118,-0.44374,-99.10833,-1.18199,199.58645,-87.59203,Slängpolskorgris,0.26903,-0.24774,11.81573,-2.60304,True,448.50172
