y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Jorgsuto,99.62776,-0.74730,-106.04085,-1.21694,199.59889,-88.84034,Slängpolskorgris,1.36603,2.62967,12.17710,-3.38007,True,445.11836
Andjorg,100.22296,0.85161,-98.91119,-1.23724,200.19240,-89.88662,Polkagris,-2.23901,0.65370,10.72266,-2.38136,True,451.65919
Andsuto,100.12711,0.22396,-96.58029,-1.18725,200.10113,-89.18542,Polkagris,0.38295,-0.58657,12.60082,-1.28045,True,452.34540
Jorgsuto,100.81843,0.02120,-102.78871,-1.26271,200.78442,-92.00700,Polkagris,-0.28207,0.81744,13.57450,0.12083,True,452.69780
Jorgsuto,101.07489,1.18863,-101.29639,-1.23077,201.04424,-92.83613,Schottisgris,1.31717,0.69887,12.50238,-0.71997,True,454.72627
Andjorg,98.79082,-0.01894,-98.25408,-1.22550,198.76146,-91.80394,Hambogris,-0.57176,-0.46803,13.58987,-1.30018,True,444.82708
Andsuto,100.47889,-0.30272,-97.79528,-1.18278,200.45456,-91.78065,Polkagris,-0.23770,0.39493,11.26126,-0.29029,True,453.49681
Andjorg,100.80547,-0.47662,-94.61959,-1.23104,200.77593,-92.63763,Polkagris,-1.22372,-0.49954,11.20883,-4.03715,True,456.71757
Andjorg,101.39563,0.58469,-101.78597,-1.22445,201.36647,-93.52162,Schottisgris,1.47611,-0.26607,13.40821,-0.34028,True,456.08514
Andjorg,99.81983,1.22091,-97.09024,-1.23549,199.78946,-89.02323,Slängpolskorgris,-0.13796,-0.37105,9.84664,-1.42080,True,450.55404
Andsuto,100.05263,-0.62190,-89.94459,-1.19600,200.02556,-93.88613,Polkagris,0.90054,0.32287,10.84262,-1.46577,True,455.29084
Andjorg,100.08200,0.05068,-103.00312,-1.22779,200.05232,-91.39980,Polkagris,0.82582,1.41937,9.32199,-3.09380,True,448.90843
Jorgsuto,101.43675,0.30479,-103.76211,-1.24394,201.40540,-93.24206,Schottisgris,-1.16856,-3.21234,8.96560,-2.33623,True,455.30270
Andjorg,99.82157,0.03569,-100.67014,-1.22791,199.79209,-90.57066,Slängpolskorgris,1.77207,-1.52749,11.38352,-1.43791,True,448.77275
Jorgsuto,101.52519,-0.15579,-94.41265,-1.20410,201.49783,-94.67748,Schottisgris,-1.31291,-1.58059,10.19924,2.41025,True,460.41964
Jorgsuto,99.65350,1.06659,-98.70309,-1.20966,199.62549,-94.26165,Slängpolskorgris,-0.07457,1.33725,10.51571,-1.12686,True,448.91594
Andsuto,101.35253,-0.34070,-103.60891,-1.20644,201.32424,-98.26448,Schottisgris,-0.40371,-1.18248,12.03586,1.06593,True,454.95817
Andsuto,99.78152,-0.48478,-103.88329,-1.20372,199.75430,-94.37775,Slängpolskorgris,0.26711,-0.57259,13.15326,2.29674,True,446.96595
Andjorg,99.70261,0.53689,-102.17296,-1.23278,199.67298,-90.73260,Slängpolskorgris,0.66489,-0.77704,9.02502,-1.20490,True,447.42656
Andjorg,97.70969,-0.30395,-94.45881,-1.23327,197.67888,-89.38835,Hambogris,-0.75007,0.92384,12.64038,-3.09370,True,441.31906
Andjorg,100.60860,0.11030,-94.24791,-1.22942,200.57873,-94.96488,Polkagris,-1.08900,0.09313,10.16419,-4.15141,True,455.91905
Andsuto,100.11071,-1.03659,-97.19610,-1.20481,200.08320,-88.41717,Polkagris,-1.06391,0.03294,9.77498,2.62075,True,451.95550
Jorgsuto,101.49655,0.17805,-100.48986,-1.21078,201.46823,-95.48045,Schottisgris,0.01654,-2.01335,9.50632,1.86458,True,457.23783
Andjorg,99.58636,-1.38111,-90.89341,-1.22604,199.55758,-90.19145,Slängpolskorgris,0.46122,-2.98427,10.66937,-0.54676,True,452.48509
Andsuto,101.23524,0.07797,-98.66539,-1.22816,201.20453,-93.71403,Schottisgris,-0.87433,0.36895,11.06386,2.80023,True,456.84348
Andjorg,97.83035,0.05519,-99.17877,-1.23159,197.79988,-89.84905,Hambogris,2.50213,-1.80517,12.03344,-2.64205,True,439.56235
Andjorg,100.62164,-1.06002,-97.97131,-1.23242,200.59084,-90.78427,Polkagris,1.84383,-0.73046,11.33473,-2.37099,True,454.12255
Andjorg,100.30969,0.35878,-102.84601,-1.23749,200.27934,-89.71556,Polkagris,-0.07035,0.39726,11.53422,-3.13866,True,450.12543
Jorgsuto,99.53689,1.22810,-99.13696,-1.25330,199.50384,-91.51733,Slängpolskorgris,-0.77279,-0.63909,13.85271,-1.65204,True,448.11597
Jorgsuto,101.24665,-0.28798,-106.22399,-1.22606,201.21674,-92.05857,Schottisgris,-1.06316,-2.10665,10.16119,3.03872,True,453.12124
Andsuto,99.47221,-0.75790,-93.57648,-1.20372,199.44439,-90.77777,Slängpolskorgris,0.64499,-0.22264,13.16392,3.44859,True,450.57281
Andsuto,99.42491,0.21033,-100.57695,-1.22215,199.39591,-88.03140,Slängpolskorgris,-0.52872,0.67594,11.87095,4.79054,True,446.83609
Andjorg,99.50999,0.36555,-101.15131,-1.23168,199.47991,-88.81400,Slängpolskorgris,-1.50439,-0.35247,11.67432,-2.60219,True,446.97427
Jorgsuto,100.40465,1.35750,-102.04752,-1.24179,200.37343,-94.37456,Polkagris,1.24994,1.53558,11.64426,-0.41121,True,450.99951
Andsuto,100.15581,-0.29345,-102.49027,-1.20767,200.12802,-91.96819,Polkagris,0.41988,-0.63331,13.72381,3.59534,True,449.53392
Andsuto,100.82294,0.31920,-105.60735,-1.19001,200.79669,-93.27767,Polkagris,-0.71060,0.56960,9.60413,-1.26408,True,451.31103
Jorgsuto,99.26354,-1.23737,-100.85283,-1.21701,199.23475,-89.49854,Slängpolskorgris,0.66303,0.16844,10.79909,0.85773,True,445.89130
Andsuto,100.06261,-0.36061,-105.07630,-1.18969,200.03654,-88.91611,Polkagris,0.10557,-1.21966,11.50928,0.79813,True,447.77492
Andsuto,99.31848,-0.15220,-100.77849,-1.19727,199.29149,-90.56763,Slängpolskorgris,-0.92416,-0.04588,11.61167,1.24139,True,446.20314
Andsuto,98.59751,0.18308,-99.18518,-1.19272,198.57083,-91.19101,Hambogris,0.43982,-0.27394,10.31554,3.20661,True,443.39496
Andsuto,100.68119,-0.12501,-100.94164,-1.20285,200.65377,-92.85117,Polkagris,-0.46825,-0.07244,12.40322,1.27142,True,452.93513
Jorgsuto,99.08597,-1.00836,-98.69423,-1.20547,199.05829,-91.73868,Slängpolskorgris,-1.91956,-1.85377,11.47722,-1.37240,True,446.08273
Andjorg,99.72563,0.09750,-98.82753,-1.23244,199.69573,-89.41223,Slängpolskorgris,-0.44064,0.31067,9.75524,-0.59947,True,449.21440
Jorgsuto,99.10569,-0.28406,-97.45966,-1.20437,199.07846,-91.75791,Slängpolskorgris,-2.39020,-0.17239,13.87971,-0.51480,True,446.79862
Andjorg,100.26802,-0.92402,-100.03645,-1.23650,200.23782,-91.57299,Polkagris,-0.97390,1.30423,10.45037,-2.72018,True,451.32186
Jorgsuto,101.11560,0.38027,-99.60240,-1.22959,201.08551,-89.96869,Schottisgris,0.49567,-0.78074,11.92075,-1.33136,True,455.77681
Andjorg,100.67138,-0.04417,-97.19661,-1.22877,200.64162,-90.94840,Polkagris,1.44072,0.08181,12.74296,-4.38923,True,454.75859
Andsuto,99.90245,0.65944,-98.28920,-1.19591,199.87678,-92.34547,Slängpolskorgris,-0.30424,0.97757,12.15683,0.85879,True,450.36764
Jorgsuto,101.48330,0.77999,-100.34011,-1.21371,201.45475,-92.91854,Schottisgris,0.22521,1.27330,10.31669,-1.07518,True,457.24645
Andsuto,99.52440,-0.86446,-97.57700,-1.21865,199.49584,-88.10260,Slängpolskorgris,-0.25037,-1.04308,12.07480,1.47024,True,448.83349
Andjorg,98.05780,-0.86335,-96.64096,-1.24108,198.02651,-87.81722,Hambogris,1.22191,2.23598,11.06089,-2.82679,True,441.96852
Andjorg,100.63855,0.09768,-100.59132,-1.22951,200.60856,-92.45466,Polkagris,0.92261,-1.90536,10.03964,-2.02902,True,452.89710
Andjorg,100.61584,0.24530,-98.17278,-1.22024,200.58775,-90.46295,Polkagris,-2.09230,1.36368,8.36491,-3.78360,True,453.99282
Andjorg,100.08114,0.24989,-102.95281,-1.23265,200.05121,-92.36959,Polkagris,-0.72708,0.33575,14.39470,-2.40426,True,448.92931
Andjorg,100.69063,-0.10485,-98.54963,-1.23203,200.66076,-92.29362,Polkagris,0.31778,0.01518,10.84669,-3.55072,True,454.17835
Andsuto,99.31297,1.30125,-104.17744,-1.18999,199.28702,-89.06548,Slängpolskorgris,1.59988,0.04545,9.97189,-1.16289,True,444.47611
Jorgsuto,99.98012,0.17105,-101.98191,-1.21065,199.95196,-91.05857,Slängpolskorgris,-1.98830,1.16294,11.05269,-1.77151,True,448.90965
Andjorg,99.66208,0.04089,-101.58842,-1.23216,199.63151,-90.57616,Slängpolskorgris,-0.64003,-1.08908,10.11666,-3.83549,True,447.51620
Andsuto,100.30121,-1.02564,-93.60559,-1.22841,200.27050,-93.23044,Polkagris,-0.74673,0.22092,11.35651,2.29426,True,454.70327
Andsuto,100.33140,-0.11410,-95.76011,-1.18913,200.30604,-93.40867,Polkagris,1.18075,0.49290,11.33504,1.71488,True,453.77694
Andjorg,101.65404,1.09912,-101.08549,-1.23332,201.62402,-90.64816,Schottisgris,-1.75531,0.61358,10.02813,-3.77339,True,457.72747
Andjorg,101.79370,0.12577,-103.58993,-1.23540,201.76313,-92.32511,Schottisgris,0.64903,-1.66716,9.91769,-1.09433,True,457.17352
Jorgsuto,99.98781,-0.09186,-100.76489,-1.25874,199.95472,-90.74111,Slängpolskorgris,-0.93715,-0.88068,13.47643,-0.65153,True,449.55661
Andjorg,100.32964,-0.28958,-102.32373,-1.23119,200.30002,-89.66222,Polkagris,-3.43268,2.49466,8.42440,-3.11019,True,450.48635
Andjorg,99.50493,-0.80239,-100.77670,-1.24487,199.47290,-91.08605,Slängpolskorgris,-0.96659,2.62757,11.95350,-3.01238,True,447.13630
Andsuto,99.37842,0.06914,-99.90622,-1.21589,199.34988,-90.11551,Slängpolskorgris,-0.89955,0.55575,10.52359,1.91569,True,446.93897
Jorgsuto,100.43455,0.86705,-97.56142,-1.20612,200.40684,-93.27514,Polkagris,-1.54164,0.75213,13.87958,2.36863,True,453.39202
Andjorg,98.48638,-0.23851,-97.79632,-1.22972,198.45696,-90.62390,Hambogris,-2.91230,-2.02411,11.77468,-0.72665,True,443.53371
Andsuto,99.65240,0.75715,-96.72132,-1.18258,199.62718,-89.20359,Slängpolskorgris,-0.07331,0.20063,12.71843,2.29454,True,449.90134
Andsuto,100.41179,-0.47976,-98.92864,-1.21387,200.38362,-90.63254,Polkagris,-1.69630,0.02185,11.39368,0.33200,True,452.59462
Andjorg,101.48670,-0.51581,-102.25868,-1.23795,201.45618,-93.78322,Schottisgris,-0.25581,0.68112,9.03215,-1.38089,True,456.30418
Andjorg,100.62931,0.05377,-96.21167,-1.23563,200.59901,-91.35168,Polkagris,-0.94603,-1.51908,11.32435,-1.38609,True,455.04071
Andsuto,98.37343,0.32893,-97.81763,-1.21035,198.34541,-92.05135,Hambogris,1.20985,-1.16524,10.38688,3.29724,True,442.95832
Andsuto,99.56713,-0.09009,-99.52790,-1.20395,199.53902,-91.35749,Slängpolskorgris,0.78333,0.19076,11.60040,2.81769,True,448.07170
Andsuto,99.16847,-0.08255,-98.34386,-1.18672,199.14351,-91.84711,Slängpolskorgris,0.47967,0.19319,12.96189,0.66526,True,446.67040
Andsuto,98.09766,-0.84028,-103.66786,-1.20426,198.06965,-88.03328,Hambogris,0.75541,0.11317,10.74147,1.98146,True,438.65436
Andjorg,100.61672,0.25594,-98.85200,-1.22211,200.58839,-91.65030,Polkagris,0.50926,0.59377,12.45740,-2.82748,True,453.65759
Andjorg,99.85552,0.79822,-102.39918,-1.23227,199.82568,-90.81762,Slängpolskorgris,0.37995,-1.94967,10.84764,-1.59665,True,448.07803
Andsuto,99.48404,-0.41158,-97.75071,-1.19241,199.45702,-91.75428,Slängpolskorgris,-0.90060,0.99023,12.29684,1.73782,True,448.54487
Andsuto,101.77504,0.26214,-106.15025,-1.21984,201.74628,-91.74328,Schottisgris,-0.33492,0.31443,12.39053,1.65848,True,455.80005
Jorgsuto,100.51174,0.16673,-104.03722,-1.22619,200.48197,-93.78639,Polkagris,-1.87886,-0.81092,12.70894,-0.69390,True,450.54007
Andjorg,100.62607,-0.25962,-99.06716,-1.22402,200.59754,-96.13887,Polkagris,0.34207,-1.08290,9.33499,-3.16988,True,453.59676
Jorgsuto,99.92298,0.00383,-104.04965,-1.23583,199.89204,-91.35678,Slängpolskorgris,-0.80068,1.18648,12.67578,-1.21764,True,447.59006
Andsuto,100.13895,0.18011,-105.34970,-1.20228,200.11243,-90.33836,Polkagris,0.35524,-0.76892,10.65625,2.72536,True,448.01989
